RSSI:-54,Distance: 1.0Time difference: 1488143578230
RSSI:-54,Distance: 1.0Time difference: 1488143578230
RSSI:-53,Distance: 1.0Time difference: 1488143579173
RSSI:-55,Distance: 1.0Time difference: 1488143579387
RSSI:-60,Distance: 1.0Time difference: 1488143579595
RSSI:-60,Distance: 1.0Time difference: 1488143579595
RSSI:-54,Distance: 1.0Time difference: 1488143580027
RSSI:-58,Distance: 1.0Time difference: 1488143580218
RSSI:-62,Distance: 1.0Time difference: 1488143580433
RSSI:-54,Distance: 1.0Time difference: 1488143580646
RSSI:-58,Distance: 1.0Time difference: 1488143580859
RSSI:-61,Distance: 1.0Time difference: 1488143581077
RSSI:-54,Distance: 1.0Time difference: 1488143581283
RSSI:-54,Distance: 1.0Time difference: 1488143581283
RSSI:-54,Distance: 1.0Time difference: 1488143581283
RSSI:-54,Distance: 1.0Time difference: 1488143581283
RSSI:-54,Distance: 1.0Time difference: 1488143581283
RSSI:-54,Distance: 1.0Time difference: 1488143581283
RSSI:-54,Distance: 1.0Time difference: 1488143581283
RSSI:-54,Distance: 1.0Time difference: 1488143582855
RSSI:-54,Distance: 1.0Time difference: 1488143583073
RSSI:-58,Distance: 1.0Time difference: 1488143583278
RSSI:-58,Distance: 1.0Time difference: 1488143583278
RSSI:-58,Distance: 1.0Time difference: 1488143583278
RSSI:-58,Distance: 1.0Time difference: 1488143583278
RSSI:-58,Distance: 1.0Time difference: 1488143583278
RSSI:-54,Distance: 1.0Time difference: 1488143584432
RSSI:-55,Distance: 1.0Time difference: 1488143584658
RSSI:-55,Distance: 1.0Time difference: 1488143584658
RSSI:-58,Distance: 1.0Time difference: 1488143585078
RSSI:-55,Distance: 1.0Time difference: 1488143585283
RSSI:-54,Distance: 1.0Time difference: 1488143585495
RSSI:-58,Distance: 1.0Time difference: 1488143585707
RSSI:-54,Distance: 1.0Time difference: 1488143585907
RSSI:-54,Distance: 1.0Time difference: 1488143585907
RSSI:-58,Distance: 1.0Time difference: 1488143586331
RSSI:-61,Distance: 1.0Time difference: 1488143586541
RSSI:-64,Distance: 1.0Time difference: 1488143586855
RSSI:-60,Distance: 1.0Time difference: 1488143587052
RSSI:-65,Distance: 1.0Time difference: 1488143587265
RSSI:-65,Distance: 1.0Time difference: 1488143587265
RSSI:-57,Distance: 1.0Time difference: 1488143587687
RSSI:-64,Distance: 1.0Time difference: 1488143587900
RSSI:-64,Distance: 1.0Time difference: 1488143588112
RSSI:-64,Distance: 1.0Time difference: 1488143588112
RSSI:-64,Distance: 1.0Time difference: 1488143588112
RSSI:-65,Distance: 1.0Time difference: 1488143588838
RSSI:-67,Distance: 1.0Time difference: 1488143589051
RSSI:-70,Distance: 1.0Time difference: 1488143589265
RSSI:-69,Distance: 1.0Time difference: 1488143589480
RSSI:-73,Distance: 1.0Time difference: 1488143589680
RSSI:-73,Distance: 1.0Time difference: 1488143589680
RSSI:-73,Distance: 1.0Time difference: 1488143589680
RSSI:-68,Distance: 1.0Time difference: 1488143590303
RSSI:-73,Distance: 1.0Time difference: 1488143590518
RSSI:-65,Distance: 1.0Time difference: 1488143590736
RSSI:-70,Distance: 1.0Time difference: 1488143590940
RSSI:-70,Distance: 1.0Time difference: 1488143590940
RSSI:-76,Distance: 1.0Time difference: 1488143591459
RSSI:-76,Distance: 1.0Time difference: 1488143591459
RSSI:-65,Distance: 1.0Time difference: 1488143591874
RSSI:-71,Distance: 1.0Time difference: 1488143592086
RSSI:-71,Distance: 1.0Time difference: 1488143592086
RSSI:-71,Distance: 1.0Time difference: 1488143592086
RSSI:-69,Distance: 1.0Time difference: 1488143592718
RSSI:-68,Distance: 1.0Time difference: 1488143592924
RSSI:-68,Distance: 1.0Time difference: 1488143592924
RSSI:-72,Distance: 1.0Time difference: 1488143593341
RSSI:-70,Distance: 1.0Time difference: 1488143593558
RSSI:-70,Distance: 1.0Time difference: 1488143593558
RSSI:-73,Distance: 1.0Time difference: 1488143593975
RSSI:-70,Distance: 1.0Time difference: 1488143594185
RSSI:-70,Distance: 1.0Time difference: 1488143594185
RSSI:-70,Distance: 1.0Time difference: 1488143594185
RSSI:-70,Distance: 1.0Time difference: 1488143594185
RSSI:-70,Distance: 1.0Time difference: 1488143594185
RSSI:-70,Distance: 1.0Time difference: 1488143595347
RSSI:-67,Distance: 1.0Time difference: 1488143595558
RSSI:-64,Distance: 1.0Time difference: 1488143595767
RSSI:-64,Distance: 1.0Time difference: 1488143595986
RSSI:-68,Distance: 1.0Time difference: 1488143596199
RSSI:-68,Distance: 1.0Time difference: 1488143596199
RSSI:-67,Distance: 1.0Time difference: 1488143596616
RSSI:-65,Distance: 1.0Time difference: 1488143596823
RSSI:-69,Distance: 1.0Time difference: 1488143597028
RSSI:-69,Distance: 1.0Time difference: 1488143597028
RSSI:-69,Distance: 1.0Time difference: 1488143597028
RSSI:-69,Distance: 1.0Time difference: 1488143597028
RSSI:-67,Distance: 1.0Time difference: 1488143597963
RSSI:-66,Distance: 1.0Time difference: 1488143598166
RSSI:-67,Distance: 1.0Time difference: 1488143598376
RSSI:-68,Distance: 1.0Time difference: 1488143598582
RSSI:-68,Distance: 1.0Time difference: 1488143598582
RSSI:-79,Distance: 1.0Time difference: 1488143598998
RSSI:-69,Distance: 1.0Time difference: 1488143599221
RSSI:-69,Distance: 1.0Time difference: 1488143599221
RSSI:-69,Distance: 1.0Time difference: 1488143599221
RSSI:-69,Distance: 1.0Time difference: 1488143599221
RSSI:-69,Distance: 1.0Time difference: 1488143599221
RSSI:-67,Distance: 1.0Time difference: 1488143600378
RSSI:-65,Distance: 1.0Time difference: 1488143600595
RSSI:-64,Distance: 1.0Time difference: 1488143600801
RSSI:-61,Distance: 1.0Time difference: 1488143601004
RSSI:-61,Distance: 1.0Time difference: 1488143601210
RSSI:-61,Distance: 1.0Time difference: 1488143601210
RSSI:-62,Distance: 1.0Time difference: 1488143601623
RSSI:-59,Distance: 1.0Time difference: 1488143601831
RSSI:-61,Distance: 1.0Time difference: 1488143602036
RSSI:-62,Distance: 1.0Time difference: 1488143602245
RSSI:-62,Distance: 1.0Time difference: 1488143602448
RSSI:-62,Distance: 1.0Time difference: 1488143602448
RSSI:-64,Distance: 1.0Time difference: 1488143602867
RSSI:-63,Distance: 1.0Time difference: 1488143603074
RSSI:-62,Distance: 1.0Time difference: 1488143603284
RSSI:-62,Distance: 1.0Time difference: 1488143603284
RSSI:-62,Distance: 1.0Time difference: 1488143603707
RSSI:-62,Distance: 1.0Time difference: 1488143603707
RSSI:-62,Distance: 1.0Time difference: 1488143603707
RSSI:-62,Distance: 1.0Time difference: 1488143603707
RSSI:-62,Distance: 1.0Time difference: 1488143603707
RSSI:-63,Distance: 1.0Time difference: 1488143604857
RSSI:-63,Distance: 1.0Time difference: 1488143605071
RSSI:-63,Distance: 1.0Time difference: 1488143605071
RSSI:-61,Distance: 1.0Time difference: 1488143605492
RSSI:-63,Distance: 1.0Time difference: 1488143605704
RSSI:-62,Distance: 1.0Time difference: 1488143605934
RSSI:-62,Distance: 1.0Time difference: 1488143605934
RSSI:-64,Distance: 1.0Time difference: 1488143606443
RSSI:-64,Distance: 1.0Time difference: 1488143606443
RSSI:-64,Distance: 1.0Time difference: 1488143606874
RSSI:-62,Distance: 1.0Time difference: 1488143607077
RSSI:-66,Distance: 1.0Time difference: 1488143607281
RSSI:-64,Distance: 1.0Time difference: 1488143607494
RSSI:-62,Distance: 1.0Time difference: 1488143607712
RSSI:-62,Distance: 1.0Time difference: 1488143607712
RSSI:-62,Distance: 1.0Time difference: 1488143607712
RSSI:-62,Distance: 1.0Time difference: 1488143607712
RSSI:-61,Distance: 1.0Time difference: 1488143608665
RSSI:-59,Distance: 1.0Time difference: 1488143608885
RSSI:-59,Distance: 1.0Time difference: 1488143608885
RSSI:-60,Distance: 1.0Time difference: 1488143609298
RSSI:-64,Distance: 1.0Time difference: 1488143609505
RSSI:-61,Distance: 1.0Time difference: 1488143609724
RSSI:-60,Distance: 1.0Time difference: 1488143609932
RSSI:-60,Distance: 1.0Time difference: 1488143609932
RSSI:-60,Distance: 1.0Time difference: 1488143609932
RSSI:-60,Distance: 1.0Time difference: 1488143609932
RSSI:-62,Distance: 1.0Time difference: 1488143610897
RSSI:-67,Distance: 1.0Time difference: 1488143611088
RSSI:-65,Distance: 1.0Time difference: 1488143611302
RSSI:-64,Distance: 1.0Time difference: 1488143611510
RSSI:-64,Distance: 1.0Time difference: 1488143611510
RSSI:-64,Distance: 1.0Time difference: 1488143611510
RSSI:-64,Distance: 1.0Time difference: 1488143611510
RSSI:-64,Distance: 1.0Time difference: 1488143611510
RSSI:-67,Distance: 1.0Time difference: 1488143612653
RSSI:-67,Distance: 1.0Time difference: 1488143612653
RSSI:-67,Distance: 1.0Time difference: 1488143612653
RSSI:-64,Distance: 1.0Time difference: 1488143613276
RSSI:-65,Distance: 1.0Time difference: 1488143613482
RSSI:-60,Distance: 1.0Time difference: 1488143613691
RSSI:-62,Distance: 1.0Time difference: 1488143613908
RSSI:-63,Distance: 1.0Time difference: 1488143614113
RSSI:-63,Distance: 1.0Time difference: 1488143614113
RSSI:-61,Distance: 1.0Time difference: 1488143614535
RSSI:-62,Distance: 1.0Time difference: 1488143614747
RSSI:-62,Distance: 1.0Time difference: 1488143614747
RSSI:-62,Distance: 1.0Time difference: 1488143614747
RSSI:-62,Distance: 1.0Time difference: 1488143614747
RSSI:-62,Distance: 1.0Time difference: 1488143614747
RSSI:-65,Distance: 1.0Time difference: 1488143615870
RSSI:-62,Distance: 1.0Time difference: 1488143616080
RSSI:-62,Distance: 1.0Time difference: 1488143616296
RSSI:-62,Distance: 1.0Time difference: 1488143616502
RSSI:-61,Distance: 1.0Time difference: 1488143616712
RSSI:-61,Distance: 1.0Time difference: 1488143616925
RSSI:-65,Distance: 1.0Time difference: 1488143617134
RSSI:-62,Distance: 1.0Time difference: 1488143617348
RSSI:-65,Distance: 1.0Time difference: 1488143617560
RSSI:-70,Distance: 1.0Time difference: 1488143617764
RSSI:-70,Distance: 1.0Time difference: 1488143617764
RSSI:-75,Distance: 1.0Time difference: 1488143618190
RSSI:-75,Distance: 1.0Time difference: 1488143618190
RSSI:-75,Distance: 1.0Time difference: 1488143618190
RSSI:-75,Distance: 1.0Time difference: 1488143618190
RSSI:-75,Distance: 1.0Time difference: 1488143618190
RSSI:-75,Distance: 1.0Time difference: 1488143618190
RSSI:-67,Distance: 1.0Time difference: 1488143619563
RSSI:-63,Distance: 1.0Time difference: 1488143619782
RSSI:-64,Distance: 1.0Time difference: 1488143619988
RSSI:-71,Distance: 1.0Time difference: 1488143620197
RSSI:-80,Distance: 1.0Time difference: 1488143620404
RSSI:-80,Distance: 1.0Time difference: 1488143620404
RSSI:-71,Distance: 1.0Time difference: 1488143620827
RSSI:-71,Distance: 1.0Time difference: 1488143621038
RSSI:-70,Distance: 1.0Time difference: 1488143621244
RSSI:-70,Distance: 1.0Time difference: 1488143621459
RSSI:-70,Distance: 1.0Time difference: 1488143621459
RSSI:-70,Distance: 1.0Time difference: 1488143621459
RSSI:-72,Distance: 1.0Time difference: 1488143622169
RSSI:-73,Distance: 1.0Time difference: 1488143622374
RSSI:-73,Distance: 1.0Time difference: 1488143622579
RSSI:-67,Distance: 1.0Time difference: 1488143622793
RSSI:-61,Distance: 1.0Time difference: 1488143623012
RSSI:-61,Distance: 1.0Time difference: 1488143623012
RSSI:-61,Distance: 1.0Time difference: 1488143623012
RSSI:-61,Distance: 1.0Time difference: 1488143623012
RSSI:-61,Distance: 1.0Time difference: 1488143623012
RSSI:-60,Distance: 1.0Time difference: 1488143624160
RSSI:-60,Distance: 1.0Time difference: 1488143624160
RSSI:-60,Distance: 1.0Time difference: 1488143624160
RSSI:-72,Distance: 1.0Time difference: 1488143624796
RSSI:-64,Distance: 1.0Time difference: 1488143625003
RSSI:-82,Distance: 1.0Time difference: 1488143625218
RSSI:-67,Distance: 1.0Time difference: 1488143625423
RSSI:-66,Distance: 1.0Time difference: 1488143625626
RSSI:-66,Distance: 1.0Time difference: 1488143625626
RSSI:-61,Distance: 1.0Time difference: 1488143626053
RSSI:-65,Distance: 1.0Time difference: 1488143626257
RSSI:-68,Distance: 1.0Time difference: 1488143626470
RSSI:-59,Distance: 1.0Time difference: 1488143626782
RSSI:-59,Distance: 1.0Time difference: 1488143626782
RSSI:-71,Distance: 1.0Time difference: 1488143627211
RSSI:-82,Distance: 1.0Time difference: 1488143627415
RSSI:-77,Distance: 1.0Time difference: 1488143627628
RSSI:-77,Distance: 1.0Time difference: 1488143627628
RSSI:-77,Distance: 1.0Time difference: 1488143627628
RSSI:-77,Distance: 1.0Time difference: 1488143627628
RSSI:-77,Distance: 1.0Time difference: 1488143627628
RSSI:-77,Distance: 1.0Time difference: 1488143627628
RSSI:-70,Distance: 1.0Time difference: 1488143628989
RSSI:-72,Distance: 1.0Time difference: 1488143629202
RSSI:-85,Distance: 1.0Time difference: 1488143629416
RSSI:-85,Distance: 1.0Time difference: 1488143629416
RSSI:-70,Distance: 1.0Time difference: 1488143629838
RSSI:-73,Distance: 1.0Time difference: 1488143630038
RSSI:-82,Distance: 1.0Time difference: 1488143630254
RSSI:-73,Distance: 1.0Time difference: 1488143630461
RSSI:-73,Distance: 1.0Time difference: 1488143630461
RSSI:-73,Distance: 1.0Time difference: 1488143630461
RSSI:-73,Distance: 1.0Time difference: 1488143630461
RSSI:-70,Distance: 1.0Time difference: 1488143631407
RSSI:-70,Distance: 1.0Time difference: 1488143631617
RSSI:-70,Distance: 1.0Time difference: 1488143632043
RSSI:-70,Distance: 1.0Time difference: 1488143632043
RSSI:-69,Distance: 1.0Time difference: 1488143632463
RSSI:-71,Distance: 1.0Time difference: 1488143631833
RSSI:-70,Distance: 1.0Time difference: 1488143632673
RSSI:-70,Distance: 1.0Time difference: 1488143632888
RSSI:-70,Distance: 1.0Time difference: 1488143633099
RSSI:-71,Distance: 1.0Time difference: 1488143633307
RSSI:-71,Distance: 1.0Time difference: 1488143633307
RSSI:-71,Distance: 1.0Time difference: 1488143633307
RSSI:-69,Distance: 1.0Time difference: 1488143634039
RSSI:-72,Distance: 1.0Time difference: 1488143634251
RSSI:-67,Distance: 1.0Time difference: 1488143634465
RSSI:-67,Distance: 1.0Time difference: 1488143634465
RSSI:-70,Distance: 1.0Time difference: 1488143634890
RSSI:-68,Distance: 1.0Time difference: 1488143635100
RSSI:-70,Distance: 1.0Time difference: 1488143635313
RSSI:-70,Distance: 1.0Time difference: 1488143635313
RSSI:-70,Distance: 1.0Time difference: 1488143635739
RSSI:-70,Distance: 1.0Time difference: 1488143635739
RSSI:-70,Distance: 1.0Time difference: 1488143635739
RSSI:-70,Distance: 1.0Time difference: 1488143635739
RSSI:-70,Distance: 1.0Time difference: 1488143635739
RSSI:-70,Distance: 1.0Time difference: 1488143635739
RSSI:-70,Distance: 1.0Time difference: 1488143635739
RSSI:-70,Distance: 1.0Time difference: 1488143635739
RSSI:-70,Distance: 1.0Time difference: 1488143635739
RSSI:-70,Distance: 1.0Time difference: 1488143635739
RSSI:-70,Distance: 1.0Time difference: 1488143635739
RSSI:-70,Distance: 1.0Time difference: 1488143635739
RSSI:-66,Distance: 1.0Time difference: 1488143638387
RSSI:-66,Distance: 1.0Time difference: 1488143638387
RSSI:-66,Distance: 1.0Time difference: 1488143638387
RSSI:-69,Distance: 1.0Time difference: 1488143639030
RSSI:-65,Distance: 1.0Time difference: 1488143639229
RSSI:-67,Distance: 1.0Time difference: 1488143639436
RSSI:-70,Distance: 1.0Time difference: 1488143639642
RSSI:-70,Distance: 1.0Time difference: 1488143639642
RSSI:-66,Distance: 1.0Time difference: 1488143640167
